Year,MarketPriceUSD,Revenues,GrossProfit,OperatingIncomeLoss,NetIncomeLoss,NetCashFromOperatingActivities,Assets,CashAndCashEquivalents,Liabilities,StockholdersEquity,EarningsPerShare,PriceToEarning,PEGRatio,BookValuePerShare,PriceToBook,RevenueGrowthRate,NetIncomeGrowthRate,BookValueGrowthRate,GrossMargin,OperatingMargin,NetIncomeMargin,FreeCashFlowMargin,FreeCashFlow,OwnerEarnings,CurrentRatio,DebtToEquityRatio,InterestCoverageRatio,ReturnOnEquity,ReturnOnAssets,ReturnOnInvestedCapital,RetainedEarningsToNetIncome,DividendPayoutRatio,CapitalExpenditureToDepreciation
2015,0.8041,1250.51,699.60,758.99,193.13,905.66,7201.37,496.65,2783.00,4417.98,0.3497,91.9810,,8.1077,3.9670,,,,55.95,60.69,15.44,70.02,875.66,135.03,6.38,0.31,16.45,4.3714,2.6818,3.8123,2045,0.00,0.2096
2016,2.6290,1401.00,791.00,747.00,207.00,1175.00,7370.00,596.00,2814.00,4469.00,0.3812,275.8532,38.40,8.2913,12.6831,12.03,7.18,1.15,56.46,53.32,14.78,79.94,1120.00,299.00,2.57,0.32,15.89,4.6319,2.8087,4.0115,2101,0.00,0.4435
2017,4.7844,2173.00,1303.00,1934.00,655.00,1672.00,9841.00,1766.00,4048.00,5762.00,1.2107,158.0691,0.73,9.8496,19.4300,55.10,216.43,28.93,59.96,89.00,30.14,74.46,1618.00,207.00,4.77,0.34,33.34,11.3676,6.6558,9.0057,932.5191,0.00,0.4576
2018,3.3101,2911.00,1801.00,3210.00,1118.00,3502.00,11241.00,4002.00,3770.00,7471.00,1.8664,70.9392,1.00,12.3284,10.7398,347.03,70.69,29.66,18.54,33.05,11.51,34.84,3384.00,794.00,8.03,0.27,52.62,14.9645,9.9457,12.3924,785.9571,0.00,0.8194
2019,5.8570,2220.00,1207.00,3804.00,567.00,3743.00,13292.00,782.00,3950.00,9342.00,0.9326,251.2208,,15.4158,15.1973,-77.30,-49.28,25.04,54.74,172.52,25.71,163.95,3615.00,-388.00,7.94,0.21,65.59,6.0694,4.2657,5.9058,2216,0.00,0.5494
2020,13.0198,10918.00,2015.00,2846.00,950.00,4761.00,17315.00,10896.00,5111.00,12204.00,1.5599,333.8564,4.94,19.9412,26.1165,40.82,67.55,30.64,64.90,91.66,30.60,141.35,4389.00,1517.00,7.67,0.16,54.73,7.7843,5.4866,7.0021,1576,0.00,0.9764
2021,29.3574,16675.00,10396.00,4532.00,4332.00,5822.00,28791.00,847.00,11898.00,16893.00,7.0211,41.8133,0.12,27.2468,10.7746,437.04,356.00,38.42,62.34,27.18,25.98,34.91,5822.00,4719.00,4.09,0.47,24.63,25.6438,15.0464,18.1565,436.4728,0.00,0.0000
2022,14.6010,26914.00,17475.00,10041.00,9752.00,9108.00,44187.00,1990.00,17575.00,26612.00,3.9071,37.3709,0.30,10.6193,13.7495,61.40,125.12,57.53,64.93,37.31,36.23,33.84,9108.00,8505.00,6.65,0.41,42.55,36.6451,22.0698,26.5816,166.4787,0.00,0.0000
2023,49.5000,26974.00,15356.00,4224.00,4368.00,5641.00,41182.00,3389.00,19081.00,22101.00,1.7563,281.8371,,8.9623,55.2314,0.22,-55.21,-16.95,56.93,15.66,16.19,20.91,5641.00,3629.00,3.52,0.55,16.12,19.7638,10.6066,13.5311,232.8526,0.00,0.0000
2024,134.2683,60922.00,44301.00,32972.00,29760.00,28090.00,65728.00,7280.00,22750.00,42978.00,12.0535,11.1394,0.02,17.4424,7.6978,125.85,581.32,94.46,72.72,54.12,48.85,46.11,28090.00,26529.00,4.17,0.25,128.30,69.2447,45.2775,55.5948,100.1915,0.00,0.0000
2025,186.5200,165218.00,115400.00,95981.00,86597.00,64089.00,111601.00,8589.00,32274.00,79327.00,3.5100,53.1396,0.28,3.2409,57.5523,171.20,190.98,84.58,69.85,58.09,52.41,38.79,64089.00,73974.00,4.44,0.11,,109.1646,77.5952,98.6411,78.5685,0.00,0.0000
